phase,recording_id,condition,role,evidence_class,status,incomplete,server_version,planned_duration_s,actual_duration_s,valid_samples_or_frames,stored_rate_hz,required_files_present,errors_or_writer_error,dropped_frames,all_rx_present,stale_observations,invalid_sync_observations,global_positive_count,global_positive_pct,rx1_positive_count,rx1_positive_pct,rx2_positive_count,rx2_positive_pct,rx3_positive_count,rx3_positive_pct,rx4_positive_count,rx4_positive_pct,csi_grid_or_api_raster,setup_id,setup_sha256,tx_filter_sha256,raw_matches_metadata,timestamp_duplicates,timestamp_regressions,max_interframe_gap_ms,gaps_over_500ms,notes,source_path
D4,E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter,empty,direct D4 comparison,classification_evidence,,,,60.0,59.85,237,3.9599,True,,,True,0,0,218,91.983,0,0.0,29,12.236,94,39.662,201,84.81,0/0:948,,,,,,,,,VALIDER LEERRAUMTEST: Raum während der vollständigen Aufnahme nicht betreten; D4 RMS-normalisierte Bewegungsmetrik; RX1-RX4 TX-MAC-Filter aktiv; korrigierte Raumgeometrie; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_21-24-17_E0b_sauberer_leerraum_D4_alle_RX_TX_MAC_Filter
D4,E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter,empty,direct D4 comparison,classification_evidence,,,,60.0,59.973,237,3.9518,True,,,True,0,0,111,46.835,0,0.0,31,13.08,96,40.506,0,0.0,0/0:948,,,,,,,,,VALIDER A/B-LEERRAUMTEST: Mac relativ mittig aufgestellt; Raum während der Aufnahme nicht betreten; Vergleich gegen E0b mit vorherigem Mac-Standort; D4 aktiv; RX1-RX4 TX-MAC-Filter aktiv; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_21-49-13_E0c_leerraum_Mac_mittig_D4_TX_MAC_Filter
D4,E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter,person,direct D4 comparison,classification_evidence,,,,60.0,59.937,237,3.9542,True,,,True,0,0,189,79.747,0,0.0,19,8.017,171,72.152,92,38.819,0/0:932;128/56:16,,,,,,,,,POSITIVLAUF: Eine Person sitzt während der vollständigen Aufnahme möglichst still mittig im Raum; Mac relativ mittig und seit E0c unverändert; Vergleich gegen E0c-Leerraum; D4 aktiv; RX1-RX4 TX-MAC-Filter aktiv; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_21-53-24_E1_person_sitzt_still_mittig_Mac_mittig_D4_TX_MAC_Filter
D4,E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter,empty,direct D4 comparison,classification_evidence,,,,60.0,59.961,237,3.9526,True,,,True,0,0,206,86.92,0,0.0,198,83.544,53,22.363,0,0.0,0/0:948,,,,,,,,,UNABHAENGIGE VALIDIERUNG: leerer Raum; Mac relativ mittig und seit E0c/E1 unverändert; Prüfung RX4-Schwellenkandidat 0.01; D4 aktiv; RX1-RX4 TX-MAC-Filter aktiv; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_22-00-55_E0d_bestaetigung_leerraum_Mac_mittig_D4_TX_MAC_Filter
D4,E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter,person,direct D4 comparison,classification_evidence,,,,60.0,59.983,237,3.9511,True,,,True,0,0,230,97.046,0,0.0,172,72.574,185,78.059,0,0.0,0/0:940;128/56:8,,,,,,,,,UNABHAENGIGE VALIDIERUNG: Eine Person sitzt möglichst still an derselben mittigen Position wie E1; Mac relativ mittig und unverändert; Prüfung RX4-Schwellenkandidat 0.01 gegen E0d; D4 aktiv; RX1-RX4 TX-MAC-Filter aktiv; Heatmap nicht bewertet.,wifi-csi-dokumentation/data/raw/2026-07-26_22-04-22_E1b_bestaetigung_person_sitzt_still_Mac_mittig_D4_TX_MAC_Filter
D5 live,D5_E1_still_sitzend,person,live still-person,classification_evidence,,,,60.0,59.746,236,3.9501,True,,,True,0,0,0,0.0,0,0.0,0,0.0,0,0.0,87,36.864,0/0:944,,,,,,,,,D5 Livetest nach erfolgreicher Leerraumkalibrierung; Person sitzt still; Mac mittig und Aufbau unverändert.,wifi-csi-dokumentation/data/raw/2026-07-26_23-28-03_D5_E1_still_sitzend
D5 live,D5_E1_still_persistenz,person,live persistence,classification_evidence,,,,30.0,29.911,114,3.8113,True,,,True,0,0,0,0.0,0,0.0,1,0.877,114,100.0,0,0.0,0/0:456,,,,,,,,,Direkter 30-Sekunden-Persistenzcheck nach widersprüchlichem D5-Stilltest; Person sitzt weiter still; keine Parameteränderung.,wifi-csi-dokumentation/data/raw/2026-07-26_23-30-21_D5_E1_still_persistenz
D5-abs,D5_abs_E0_calibration_Mac_mittig,empty,calibration only,calibration_only,,,,70.0,69.832,276,3.9523,True,,,True,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0/0:1104,,,,,,,,,Raum leer; Mac mittig; D5-Leerraumkalibrierung vor signed-vs-absolute-z Validierung,wifi-csi-dokumentation/data/raw/2026-07-27_12-57-58_D5_abs_E0_calibration_Mac_mittig
D5-abs,D5_abs_E0_validation_Mac_mittig,empty,blind empty validation,classification_evidence,,,,70.0,69.805,273,3.9109,True,,,True,0,0,0,0.0,0,0.0,0,0.0,24,8.791,0,0.0,0/0:1092,,,,,,,,,Blinder Leerraum-Prueflauf direkt nach separater D5-Kalibrierung; Mac mittig; signed z>1 gegen absolute |z|>1,wifi-csi-dokumentation/data/raw/2026-07-27_12-59-33_D5_abs_E0_validation_Mac_mittig
D5-abs,D5_abs_E1_Person_still_an_einer_Stelle_Mac_mittig,person,still-person validation,classification_evidence_limited,,,,70.0,69.832,276,3.9523,True,,,True,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0/0:1012;64/56:92,,,,,,,,,Person anwesend und sitzt oder steht still an einer Stelle; unveraenderter Aufbau; Mac mittig; signed z>1 gegen absolute |z|>1,wifi-csi-dokumentation/data/raw/2026-07-27_13-26-42_D5_abs_E1_Person_still_an_einer_Stelle_Mac_mittig
D6,discovery-neutral-20260809-01,discovery,device/data inventory,discovery_only,completed,False,0.3.3,25,24.99325,2612,104.5082,True,,0,True,,,,,623,,626,,645,,718,,2437MHz/1ant/64sc/64iq/ppdu0:2612,,,60c998af0f5f845bd2afaac558a7da831a3a34ec07544de0efc6d1e747fad86c,True,0,0,216.804,0,sequence_regressions=4; session_ids=1; bindings=1,data/recordings/discovery-neutral-20260809-01.raw-csi.v1.meta.json
D6,empty-neutral-20260809-01,empty,old setup series,historical_technical,completed,False,0.3.3,65,64.986863,4760,73.2456,True,,0,True,,,,,1138,,1183,,1233,,1206,,2437MHz/1ant/64sc/64iq/ppdu0:4760,setup-0a49d75f122f9dc9,0a49d75f122f9dc9757aed7e175bb444056e7fdde6889bd8965288d1b9008a4e,60c998af0f5f845bd2afaac558a7da831a3a34ec07544de0efc6d1e747fad86c,True,0,0,1280.868,43,sequence_regressions=0; session_ids=1; bindings=1,data/recordings/empty-neutral-20260809-01.raw-csi.v1.meta.json
D6,empty-neutral-20260809-02,empty,current setup baseline,baseline_candidate,completed,False,0.3.3,65,64.994673,6102,93.8846,True,,0,True,,,,,1436,,1557,,1635,,1474,,2437MHz/1ant/64sc/64iq/ppdu0:6102,setup-2beda4496ccfb547,2beda4496ccfb547217f15ed62418d363aed8ddbc19221d872c4a89a1a3564a0,60c998af0f5f845bd2afaac558a7da831a3a34ec07544de0efc6d1e747fad86c,True,0,0,479.993,0,sequence_regressions=0; session_ids=1; bindings=1,data/recordings/empty-neutral-20260809-02.raw-csi.v1.meta.json
D6,preflight-neutral-20260809-01,preflight,old setup series,historical_technical,completed,False,0.3.3,25,25.004743,2545,101.7807,True,,0,True,,,,,604,,647,,684,,610,,2437MHz/1ant/64sc/64iq/ppdu0:2545,setup-0a49d75f122f9dc9,0a49d75f122f9dc9757aed7e175bb444056e7fdde6889bd8965288d1b9008a4e,60c998af0f5f845bd2afaac558a7da831a3a34ec07544de0efc6d1e747fad86c,True,0,0,238.128,0,sequence_regressions=0; session_ids=1; bindings=1,data/recordings/preflight-neutral-20260809-01.raw-csi.v1.meta.json
D6,preflight-neutral-20260809-02,preflight,current setup transport test,technical_evidence,completed,False,0.3.3,25,24.903408,2701,108.4591,True,,0,True,,,,,608,,675,,752,,666,,2437MHz/1ant/64sc/64iq/ppdu0:2701,setup-2beda4496ccfb547,2beda4496ccfb547217f15ed62418d363aed8ddbc19221d872c4a89a1a3564a0,60c998af0f5f845bd2afaac558a7da831a3a34ec07544de0efc6d1e747fad86c,True,0,0,442.131,0,sequence_regressions=0; session_ids=1; bindings=1,data/recordings/preflight-neutral-20260809-02.raw-csi.v1.meta.json
